Reporting_Airline,IATA_CODE_Reporting_Airline,Aircraft,Form,To,DepTime,ArrTime,ArrDelayMinutes,ActualElapsedTime,Distance,OriginUTC,DestUTC,SDT,SAT,FTij,bus,eco,ACtype,demand_bus,demand_eco,fare_bus,fare_eco,cost,Flight
WN,WN,2,S75,S187,1200,1440,0,100,647,-8,-7,72000,78000,6000,0,143,1,0,65,103,175,9070,46
WN,WN,5,S62,S49,1201,1516,0,135,916,-8,-7,72060,80160,8100,0,143,1,0,53,146,218,11292,47
WN,WN,7,S43,S80,1418,1451,0,93,562,-6,-6,73080,78660,5580,0,143,1,0,55,89,161,8369,48
OO,OO,3,S49,S95,1330,1440,6,70,230,-7,-7,77820,82020,4200,4,46,4,3,31,56,59,3508,49
WN,WN,4,S12,S187,1233,1441,11,68,338,-8,-7,73980,78060,4080,0,143,1,0,72,54,125,6518,50
WN,WN,14,S166,S149,1344,1440,0,56,251,-6,-6,75040,75400,3360,0,175,2,0,76,40,127,6551,51
WN,WN,9,S150,S49,1352,1441,11,49,141,-7,-7,75120,78060,2940,0,143,1,0,58,22,94,4891,52
WN,WN,12,S140,S187,1257,1512,17,75,370,-8,-7,75420,79920,4500,0,143,1,0,69,59,130,6782,53
OH,OH,10,S183,S110,1502,1755,30,113,693,-6,-5,75720,82500,6780,9,54,6,7,13,155,137,6390,54
WN,WN,14,S149,S27,1542,1924,24,162,882,-6,-5,78120,87840,9720,0,175,2,0,88,141,228,12439,55
WN,WN,6,S104,S75,1344,1454,0,70,358,-8,-8,78240,82440,4200,0,143,1,0,67,57,128,6683,56
WN,WN,8,S92,S104,1352,1448,0,56,296,-8,-8,78720,82080,3360,0,143,1,0,57,47,118,6171,57
WN,WN,11,S109,S62,1418,1533,0,75,289,-8,-8,80280,84780,4500,0,143,1,0,69,46,117,6114,58
OO,OO,3,S95,S49,1521,1643,16,82,230,-7,-7,84960,89880,4920,4,46,4,3,13,56,59,3508,59
WN,WN,7,S80,S14,1535,1806,1,91,496,-6,-6,80700,86160,5460,0,143,1,0,56,79,150,7823,60
WN,WN,4,S187,S180,1526,1724,9,118,735,-7,-7,80760,87840,7080,0,143,1,0,68,117,189,9797,61
WN,WN,9,S49,S43,1529,1806,0,97,651,-7,-6,80940,86760,5820,0,143,1,0,71,104,175,9103,62
WN,WN,2,S187,S12,1536,1548,0,72,338,-7,-8,81900,86220,4320,0,143,1,0,62,54,125,6518,63
WN,WN,13,S109,S67,1456,1558,0,62,258,-8,-8,82560,86280,3720,0,175,2,0,70,41,128,6617,64
WN,WN,12,S187,S146,1557,1653,13,56,328,-7,-7,82620,85980,3360,0,143,1,0,55,52,123,6436,65
WN,WN,8,S104,S184,1524,1648,3,84,326,-8,-8,84240,89280,5040,0,143,1,0,60,52,123,6419,66
WN,WN,5,S49,S68,1625,1902,7,97,589,-7,-6,84300,90120,5820,0,143,1,0,57,94,165,8592,67
OH,OH,10,S110,S144,1839,1948,11,69,227,-5,-5,85140,89280,4140,9,54,6,7,14,81,63,3788,68
WN,WN,6,S75,S104,1549,1703,0,74,358,-8,-8,85740,90180,4440,0,143,1,0,63,57,128,6683,69
WN,WN,1,S132,S59,1750,1902,12,72,444,-6,-6,85800,90120,4320,0,143,1,0,63,71,142,7394,70
WN,WN,11,S62,S109,1623,1724,0,61,289,-8,-8,87780,91440,3660,0,143,1,0,50,46,117,6114,71
WN,WN,2,S12,S75,1626,1743,0,77,404,-8,-8,87960,92580,4620,0,143,1,0,48,64,136,7063,72
WN,WN,12,S146,S140,1739,1834,14,115,677,-7,-8,88740,95640,6900,0,143,1,0,55,108,179,9318,73
WN,WN,9,S43,S146,1857,1938,0,101,580,-6,-7,89820,95880,6060,0,143,1,0,70,92,164,8518,74
WN,WN,4,S180,S75,1758,1827,17,89,437,-7,-8,89880,95220,5340,0,143,1,0,53,69,141,7336,75
WN,WN,13,S67,S92,1659,1817,0,78,417,-8,-8,89940,94620,4680,0,175,2,0,87,66,154,8101,76
WN,WN,7,S14,S43,1904,2001,16,57,247,-6,-6,90240,93660,3420,0,143,1,0,58,39,111,5768,77
WN,WN,14,S27,S45,2022,2113,23,51,177,-5,-5,91320,94380,3060,0,175,2,0,85,28,115,5861,78
OH,OH,10,S144,S110,2027,2212,42,105,227,-5,-5,91620,97920,6300,9,54,6,7,32,81,63,3788,79
WN,WN,8,S184,S140,1734,1853,3,79,337,-8,-8,92040,96780,4740,0,143,1,0,73,53,125,6510,80
WN,WN,5,S68,S49,1942,2020,0,98,589,-6,-7,92520,98400,5880,0,143,1,0,50,94,165,8592,81
WN,WN,6,S104,S75,1746,1908,0,82,358,-8,-8,92760,97680,4920,0,143,1,0,64,57,128,6683,82
WN,WN,1,S59,S43,1950,2136,36,106,436,-6,-6,93000,99360,6360,0,143,1,0,61,69,141,7328,83
WN,WN,11,S109,S67,1806,1915,0,69,258,-8,-8,93960,98100,4140,0,143,1,0,60,41,112,5858,84
WN,WN,2,S75,S67,1827,1953,0,86,480,-8,-8,95220,100380,5160,0,143,1,0,53,76,148,7691,85
WN,WN,14,S45,S102,2143,26,96,163,1046,-5,-5,96180,105060,8880,0,175,2,0,76,167,254,13969,86
WN,WN,7,S43,S109,2050,2136,0,166,1067,-6,-8,96600,106560,9960,0,143,1,0,62,170,242,12540,87
WN,WN,4,S75,S104,1901,2011,11,70,358,-8,-8,97260,101460,4200,0,143,1,0,51,57,128,6683,88
WN,WN,12,S140,S132,1949,2158,0,69,1242,-8,-6,97440,107940,10500,0,143,1,0,68,198,270,13986,89
WN,WN,13,S92,S109,1909,2051,16,102,386,-8,-8,97740,103860,6120,0,175,2,0,83,61,149,7811,90
WN,WN,9,S146,S109,2026,2048,0,82,486,-7,-8,98760,103680,4920,0,143,1,0,71,77,149,7740,91
WN,WN,8,S140,S49,1930,2239,0,129,862,-8,-7,99000,106740,7740,0,143,1,0,54,137,209,10846,92
OH,OH,10,S110,S145,2253,18,34,85,406,-5,-5,99720,104820,5100,9,54,6,7,17,109,91,4787,93
WN,WN,6,S75,S109,1950,2108,0,78,397,-8,-8,100200,104880,4680,0,143,1,0,52,63,135,7006,94
